Text Summary,Positive Score,Negative Score,Neutral Score,Joy Score,Sadness Score,Anger Score,Fear Score,Trust Score,Other Emotions
"Investigators have covered a terrain of up to 10 miles every day and corroborated around 235 clues related to the fire. One of the worst fire disasters in Pacific Palisades history, the charred hills continue to smolder.",0.1065443828701973,0.20295239984989166,0.0155109204351902,0.0008566202013753355,0.02482951059937477,0.011142630130052567,0.013036916963756084,0.4128659963607788,"{'trust': 0.4128659963607788, 'negative': 0.20295239984989166, 'positive': 0.1065443828701973, 'sadness': 0.02482951059937477, 'neutral': 0.0155109204351902, 'fear': 0.013036916963756084, 'anger': 0.011142630130052567, 'joy': 0.0008566202013753355}"
"The cause of the Los Angeles County fire remains unknown, but investigators believe it may have been caused by a fire in the Pacific Palisades.",0.07836505770683289,0.2497684210538864,0.03503067418932915,0.006494433153420687,0.014805796556174755,0.007220335770398378,0.012073743157088757,0.08840333670377731,"{'negative': 0.2497684210538864, 'trust': 0.08840333670377731, 'positive': 0.07836505770683289, 'neutral': 0.03503067418932915, 'sadness': 0.014805796556174755, 'fear': 0.012073743157088757, 'anger': 0.007220335770398378, 'joy': 0.006494433153420687}"
"Investigators have covered a terrain of up to 10 miles every day and corroborated around 235 clues related to the fire. One of the worst fire disasters in Pacific Palisades history, the charred hills continue to smolder.",0.1065443828701973,0.20295239984989166,0.0155109204351902,0.0008566202013753355,0.02482951059937477,0.011142630130052567,0.013036916963756084,0.4128659963607788,"{'trust': 0.4128659963607788, 'negative': 0.20295239984989166, 'positive': 0.1065443828701973, 'sadness': 0.02482951059937477, 'neutral': 0.0155109204351902, 'fear': 0.013036916963756084, 'anger': 0.011142630130052567, 'joy': 0.0008566202013753355}"
"The cause of the Los Angeles County fire remains unknown, but investigators believe it may have been caused by a fire in the Pacific Palisades.",0.07836505770683289,0.2497684210538864,0.03503067418932915,0.006494433153420687,0.014805796556174755,0.007220335770398378,0.012073743157088757,0.08840333670377731,"{'negative': 0.2497684210538864, 'trust': 0.08840333670377731, 'positive': 0.07836505770683289, 'neutral': 0.03503067418932915, 'sadness': 0.014805796556174755, 'fear': 0.012073743157088757, 'anger': 0.007220335770398378, 'joy': 0.006494433153420687}"
Voters in Belarus head to the polls on Sunday to elect a new president. President Alexander Lukashenko has been in power for more than 30 years.,0.16555912792682648,0.34884780645370483,0.025188254192471504,0.029374079778790474,0.060125723481178284,0.11759655922651291,0.1746612936258316,0.46388116478919983,"{'trust': 0.46388116478919983, 'negative': 0.34884780645370483, 'fear': 0.1746612936258316, 'positive': 0.16555912792682648, 'anger': 0.11759655922651291, 'sadness': 0.060125723481178284, 'joy': 0.029374079778790474, 'neutral': 0.025188254192471504}"
"Belarusian President Alexander Lukashenko has been declared the winner of Sunday's presidential election, the first in the country's history.",0.555620014667511,0.5215396881103516,0.019484687596559525,0.13106276094913483,0.059646736830472946,0.191883847117424,0.15464523434638977,0.6924688220024109,"{'trust': 0.6924688220024109, 'positive': 0.555620014667511, 'negative': 0.5215396881103516, 'anger': 0.191883847117424, 'fear': 0.15464523434638977, 'joy': 0.13106276094913483, 'sadness': 0.059646736830472946, 'neutral': 0.019484687596559525}"
President Donald Trump has ordered a review of all foreign aid. The move is in line with his 'America First' agenda.,0.24107614159584045,0.4392068386077881,0.0120420316234231,0.019649559631943703,0.01313968375325203,0.12271327525377274,0.03267519548535347,0.2276601791381836,"{'negative': 0.4392068386077881, 'positive': 0.24107614159584045, 'trust': 0.2276601791381836, 'anger': 0.12271327525377274, 'fear': 0.03267519548535347, 'joy': 0.019649559631943703, 'sadness': 0.01313968375325203, 'neutral': 0.0120420316234231}"
The US State Department has ordered a review of all foreign assistance programmes to ensure they are efficient and consistent with its foreign policy under the America First agenda.,0.1759561449289322,0.04682168364524841,0.001207185909152031,0.013928540982306004,0.0039289710111916065,0.016279758885502815,0.007287931628525257,0.1291302740573883,"{'positive': 0.1759561449289322, 'trust': 0.1291302740573883, 'negative': 0.04682168364524841, 'anger': 0.016279758885502815, 'joy': 0.013928540982306004, 'fear': 0.007287931628525257, 'sadness': 0.0039289710111916065, 'neutral': 0.001207185909152031}"
Sushil Kumar Modi was the BJP’s tallest leader in Bihar after Kailashpati Mishra. He played an instrumental role in making the party a force to reckon with in the state. He was instrumental in building strong ties with NDA ally and JD(U) chief Nitish Kumar.,0.816726803779602,0.03354514762759209,0.003225618274882436,0.1402500718832016,0.06649422645568848,0.11161936819553375,0.08237311244010925,0.8587758541107178,"{'trust': 0.8587758541107178, 'positive': 0.816726803779602, 'joy': 0.1402500718832016, 'anger': 0.11161936819553375, 'fear': 0.08237311244010925, 'sadness': 0.06649422645568848, 'negative': 0.03354514762759209, 'neutral': 0.003225618274882436}"
Former Bihar Deputy Chief Minister Sushil Kumar Modi has been posthumously honoured with the Padma Bhushan on Saturday.,0.7960078716278076,0.16586273908615112,0.016991406679153442,0.361834317445755,0.3382903039455414,0.08494739234447479,0.07785119861364365,0.6509052515029907,"{'positive': 0.7960078716278076, 'trust': 0.6509052515029907, 'joy': 0.361834317445755, 'sadness': 0.3382903039455414, 'negative': 0.16586273908615112, 'anger': 0.08494739234447479, 'fear': 0.07785119861364365, 'neutral': 0.016991406679153442}"
Sushil Kumar Modi was the BJP’s tallest leader in Bihar after Kailashpati Mishra. He played an instrumental role in making the party a force to reckon with in the state. He was instrumental in building strong ties with NDA ally and JD(U) chief Nitish Kumar.,0.816726803779602,0.03354514762759209,0.003225618274882436,0.1402500718832016,0.06649422645568848,0.11161936819553375,0.08237311244010925,0.8587758541107178,"{'trust': 0.8587758541107178, 'positive': 0.816726803779602, 'joy': 0.1402500718832016, 'anger': 0.11161936819553375, 'fear': 0.08237311244010925, 'sadness': 0.06649422645568848, 'negative': 0.03354514762759209, 'neutral': 0.003225618274882436}"
